song_name,song_lyric
女子かしまし物語(モーニング娘。'21 Ver.),＜譜久村聖＞ハロプロエッグのあの日からずいぶん月日が過ぎたモーニング娘。の誇りをこの胸に抱く「かっけ～！」＜生田衣梨奈＞ど派手の加減がわからずに毎日手探りやってーますゴルフに救われなんとかキャラクターキ～プ～。「ファー！」＜石田亜佑美＞ようやく地に足ついてきたようやくポジション見えたようやく素直な自分で戦えそうな気分「遅くない！？」＜佐藤優樹＞お待たせしました22歳未来はこの手にあるぜいもう不思議ちゃんと言わせない私がまさきちゃん「まさきちゃ～ん！」＜小田さくら＞気が付きゃ後輩増えていて気が付きゃあれこれティーチング途中で私がこんがらがっしゃんあれ！？何が正解だっけ…「先ぱ～い！」WOW WOW WOW　青春いろいろあるさ2、3人集ったらかしまし　かしまし＜野中美希＞アメリカツアーをやりたいなカナダにイギリス　オーストラリアいろいろみんなで行きたい果てしない My Dream「アロハー！」＜牧野真莉愛＞野球が最初にあるのかなモーニング娘。ありきの野球！？どっちが先でもいいけど試合に「間に合うかなぁ～」「どっちよ！」＜羽賀朱音＞そろそろ空気を変えまして一気に目立とう月間です！遠慮は禁物　芸能界ビビらせちゃいまっせ～「スイッチ入った」＜加賀楓＞あだ名は最高！エディーカガ名前に負けじと攻めたい奇抜とおふざけの違いその辺研究中～「キャー！エディ～！！」＜横山玲奈＞にいにいにいゾロハタチですすっかり横山大人今ならまだまだ間に合う私を推しましょう「はい、並んで！」WOW WOW WOW　青春いろいろあるさ懸命に　生きてりゃ商売　繁盛 WAO！＜森戸知沙希＞努力は必ず報われるそれでもたまにはサボっちゃうサボった分だけ踊るわただでは転ばない「努力家～」＜北川莉央＞先輩たちにも追いつきたい芸能界でも売れたいゴルフも上手になりたいポジションもらいます「渡さん！」＜岡村ほまれ＞ほんわかしてそに見えるけど焼肉屋さんじゃお奉行勝手な焼き方許さぬ厚切り牛タン「食べたーい」「ガチだわ」＜山﨑愛生＞ご存知現在最年少このままのんびりがいいな後輩入ってきた日にゃびっくりするほどキャラ変したろー「パンダさんはいいの？！」「え？」WOW WOW WOW　青春いろいろあるさ2、3人集ったらかしまし　かしましワンモアタイム！WOW WOW WOW　青春いろいろあるさ！懸命に生きてりゃ商売　繁盛笑ろとけ　笑ろとけ！
よしよししてほしいの,よしよししてよしよししてほしい期待してないUH UH YEAH YEAHよしよししてよしよししてほしいUH UH YEAH YEAH心配したよな顔しなくていい端(はな)から　期待してないTonight一人でいるのは　嫌じゃないけど一人でいるのが　楽なんだけど一人でいた方が　他の誰かを一人でいた方が　傷つけたりしないし本音を話すと　みんな眉をひそめて問題児扱い　するじゃんOh No　センチメンタル少女今夜の終わりが来たなら眠る今夜の終わりがいつだかわからないTonightよしよししてよしよししてほしいUH UH YEAH YEAH　センチメンタルなぐさめてなぐさめてほしいUH UH YEAH YEAH　愛が抱きしめて抱きしめてほしいUH UH YEAH YEAH　センチメンタル理解して理解してほしいUH UH YEAH YEAHよしよししてよしよししてほしい期待してないUH UH YEAH YEAHよしよししてよしよししてほしいUH UH YEAH YEAH心配したよな顔しなくていい端(はな)から　期待してないTonight笑顔が私の　防御ですから返事が良いのも　防御ですから優等生なのも　防御ですからみんなそれぞれに　防御があるんでしょうが本音を話すと　なんかその後ぐったり脱力感が　残る…Oh No　センチメンタル少女明日の始まり眩しい朝焼け明日でなくって今日なんだけどねTonightTonight涙して涙してみたいUH UH YEAH YEAH　センチメンタルわがままをわがままをしたいUH UH YEAH YEAH　愛が好きなだけ好きなだけ食べたいUH UH YEAH YEAH　センチメンタル好きなこと好きなこと言いたいUH UH YEAH YEAHよしよししてよしよししてほしい期待してないUH UH YEAH YEAHよしよししてよしよししてほしいUH UH YEAH YEAHTonightよしよししてよしよししてほしいUH UH YEAH YEAH　センチメンタルよしよししてよしよししてほしいUH UH YEAH YEAH　センチメンタルよしよししてよしよししてほしいUH UH YEAH YEAH　センチメンタルよしよししてよしよししてほしいUH UH YEAH YEAHTonightよしよししてよしよししてほしいUH UH YEAH YEAH
Teenage Solution,誰にも気付かせたりはしないわ冷めた感情一人で居るの　何も怖くないしそれでも誰かと過ごす土曜なんかは無邪気に100均で戯(ふざ)けてどうでもいいのを　余分に買った本当はそんなんじゃないの「逃げてる」じゃない去年のように誰かん家(ち)お泊まりしたり…「したい」でもそれじゃ　私のこの胸(へん)が「Muuそうじゃないでしょ？」そう言って怒っているWowTeenage Solution誰にも解(と)けないAh　年上の君でも今は無理だよ愛があっても私自身　心中(こころじゅう)　どっこも困ってないしそうだから　全然　ほっておいていいよそれでもみんなの空気とかを　なんとなく気まずくさせちゃっているならやっぱし私　お部屋にいるしなんでだろ　自分でも嫌(や)なの楽しみたいし去年のように誰かを「好き」とか「嫌い」とか…「語りたい」でもそれじゃ　私のこの頭(へん)がこうノックしてくる未来はね「待ってない」とWowTeenage Solution見つかりっこないAh　イラつきのMidnight blue理解(わか)っているよ君のやさしさこんな笑顔で良ければ　あげる寂しいとか思わないし退屈にも思わないただ　無性にイラつく時があるの自分に…WowTeenage Solution誰にも解(と)けないAh　年上の君でも今は出来ないWowTeenage Solution見つかりっこないAh　イラつきのMidnight blue理解(わか)っているよOh　君のやさしさ「だけど」今は無理みたい…
All Together限界超えよ！,WOW　WOWWOW　WOWAll TogetherAll Together限界超えろEverybody　大はしゃぎAll TogetherAll Togetherやる前(めー)に止(と)めんなEverybody　大騒ぎ「忙しい」なんて負け犬の遠吠えたいがい　そうだろう！？やりたいことは絶対にやってこれたAll Together　そうじゃないか愛すものはなんだ愛するとはなんだ哲学乙女それはそうとて今夜踊ることの方が先じゃん今日より若い日は2度と　来ない今日と同じ時は2度と　来ない人生なんてたいてい矛盾　だらけされどガンバレ！WOW　WOWWOW　WOWAll TogetherAll Togetherミスもするだろう時々 OH悩みAll TogetherAll Together調子によるさ時々　大まぐれ誰かに勝ちゃ安心出来るのかいそれ(そん)だけじゃ　ないだろう！？運命だなんて結果論でしかないAll Together　そうじゃないか月は綺麗ですねお腹は減りますね文学乙女それはそうとて君に巡り会えたことに感謝努力した事実は肉体(うち)に　宿り愛してこれたのは心(うち)の　誇り他人なんてたいてい無責任だからガンバレ！人生をGoldにするシンプルな方法 「方法！！！」We Don't Care About　同世代の傾向 「傾向！！！」曲がり角曲がるなら直角に行こう 「YO！！！」「“Forever young”じゃなくて”ありのまま”でGO！！！」今日より若い日は2度と　来ない今日と同じ時は2度と　来ない人生なんてたいてい矛盾　だらけされどガンバレ！WOW　WOWWOW　WOW
笑顔の君は太陽さ (SAYUMINGLANDOLL～希望～ Ver.),悔しさは忘れるもんじゃないまた地球は回り　季節が巡り君は成長する悲しみは誰かのもんじゃないまた地球は回り　誰かが産まれ別れの日がくるまた愛し愛され　誰かが産まれ幸福(しあわせ)を知る生きてこそ歯を食いしばるしかないそして　人を羨むんじゃない君にしか出来ないそれがあるだろうそれはとても偉大なんだ大人になってからもまだ　勉強は続く今しか出来ない　君がしたい事をしなよ笑顔の君は太陽さ出会う人みんなを笑顔にする笑顔の君は太陽さ正々堂々としてりゃいい笑顔の君は太陽さ世の中の誰もが求めてる笑顔の君は太陽さ嘘がつけないとこが良い親切は素直に受けりゃ良いまた今度は君が　違う誰かに親切出来りゃ良い裏切りは引きずらないが良いまた今度は君が　違う誰かを信じてやれば良いまた愛が広がり　違う誰かも幸福(しあわせ)になる生きてこそ大人はズルいとかそう　感じてるだろう大人は君に　戻りたいと思ってるよ笑顔の君は太陽さ出会う人みんなと友達んなる笑顔の君は太陽さ天真爛漫で生きりゃいい笑顔の君は太陽さ世の中の全てを愛してる笑顔の君は太陽さ誰の真似でもないのが良い笑顔の君は太陽さ出会う人みんなを笑顔にする笑顔の君は太陽さ正々堂々としてりゃいい笑顔の君は太陽さ世の中の誰もが求めてる笑顔の君は太陽さ嘘がつけないとこが良い
君の代わりは居やしない (SAYUMINGLANDOLL～希望～ Ver.),君の代わりは居やしない君の代わりは居やしない君の代わりは居やしない君の代わりは居やしないLOVE才能なんてあると思うなじゃないと努力しないだろLOVE無いものねだり　わずかな期待楽しめないなら続かないTheoryIronyあいつの言葉に嘘は無い本音で口説いてるあいつの笑顔に嘘は無いみんなを魅了するだって夢見るだけはタダと言うけど今日の答えがどう出るかは自分次第さ輝く場面を知っている魂が知っている俺らは出来ると知っている魂＝まさにニッポン！君の代わりは居やしない君の代わりは居やしない君の代わりは居やしない君の代わりは居やしないLOVE完璧という奴など居ない時にミスるから強くなるLOVE持ち物自慢　人の陰口ネガティブに勝る敵はないTheoryIronyそれでも世の中嘘だらけ建前の建前それでも世の中見栄だらけネゴってネゴられて全部運命次第なんだと言うけどこの人生は愛すべき人にささげよう輝く場面を知っている魂が知っている俺らは出来ると知っている魂＝まさにニッポン！全部運命次第なんだと言うけどこの人生は愛すべき人にささげよう輝く場面を知っている魂が知っている俺らは出来ると知っている魂＝まさにニッポン！君の代わりは居やしない君の代わりは居やしない君の代わりは居やしない君の代わりは居やしない
MY OWN LIFE！,夢に向かって　夢に向かってって　何から始めりゃいいのかな時間が過ぎてゆく～！？世間にムカっと！　あいつにイラっと！って　何かにつけては腹が立つ未熟な私…言うのは易しするのは難しBut then　結局やらなきゃ始まんない私の未来世界の未来YEAH！　平凡なんて気持ち次第ワクワクするも全部自分次第恋に向かって　愛に向かってって　中学時代と変わらない理想は高めです自分に誓って！　100パー誓って！って　幸せ宣言いたします自分の為に…まだまだ途中全然序曲And then　焦っちゃつまずくのがオチ私の未来世界の未来YEAH！　味わいつつ生きてこうワクワクキテる！全部がMY OWN LIFE！まだまだ途中全然序曲And then　焦っちゃつまずくのがオチ私の未来世界の未来YEAH！　味わいつつ生きてこうワクワクキテる！全部がMY OWN LIFE！
駆け上がるボルテージ,Muuいいわけするのは　意地もあるし溢れる想いに　エゴもあるし未来より今は　利己的でいいかい？Muu昨日の続きよ　今日も続け一心同体　明日に届け愛する力が　平和呼んでいいかい？砕け散ってもいい Hee本音を叫びたい Hee一つだけ　必要(い)るものは　信念だけ　Break it down！叶えるしかないじゃん Oh yeah僕らのビッグビジョン Oh yeah満場一致　可決する気がする　Oh-wa生意気な展開　突然のビハインド不利な状況　楽しむ美学論それだから実際　駆け上がるボルテージ勝てそうな　勝てそうな　イマジネーション世界中　この手の中　Get down！自由が欲しくて uh Get down！重々承知ゆえ　即決断心理作戦 Come on　揺さぶるど深夜アクセスしても behind　Come on！Muuいいわけする気は　なかったけど溢れる想いに　嘘はないぜ未来の形は　個性的でいいかい？Muu昨日の続きは　秘密のまま深層心理も　内緒のまま愛する力は　無制限でいいかい？何にも怖くない Hee強さって Power じゃない Hee一つだけ　怖いのは　孤独だけ　Break it down！勇気が出るんだ Oh yeahあなたのエールは Oh yeah全部乗り越えそうな気がする　Oh-wa不条理な展開　超絶に燃えてんだ正義(ロマン)に全て　捧げた瞬間さというより実際　舞い踊れるステージ超えてゆけ　超えてゆけ　All station世界中　この手の中　Get down！生意気な展開　突然のビハインド不利な状況　楽しむ美学論それだから実際　駆け上がるボルテージ勝てそうな　勝てそうな　イマジネーション世界中　この手の中　Get down！
愛してナンが悪い！？,優柔不断がおさまらない　全然決まんない安全基準が定まらない　恋愛初段階Oh Yeahジュージュージュジュっと裏返せ　深夜焼肉デイト親密じゃんChoo choo choo chooっと突っ走れ　恋のOne way　切符ほらもっともっとそう冷静で　一歩一歩行けEVERYBODY COME ONそっとそっとこう優しくね　ぐっとぐっとHug！蝉時雨てきっときっともう夏が来る　あっという間に冬ずっとずっとこう待ってても　何も始まんないナンがイケナイ　なんがイケナイ愛して何がイケナイYO！ listen up生きてら　それが　生きてら許しあえ　and da　認めあえ！さあ　目指せ！果てしない未来誰のものでもない君の未来さあ　目指せ！道なき未知の道さあ　気付け！己の可能性限界決めつけるなその可能性さあ　気付け！想像力が全てOH　愛して何が悪い単純明快がかっこいいじゃんSimple is best！天真爛漫が演じきれない　大根アクトレスOh YeahグーグーグGood！　親指が　人気の基準じゃんアホらしいシャーシャーシャシャっと洒落臭い　宵越しの恋愛ほらもっともっとそう冷静で　一歩一歩行けEVERYBODY COME ONそっとそっとこう優しくね　ぐっとぐっとHug！夢破れてきっときっとそう次がある　あっという間に笑顔ずっとずっとこう悩んでた　あの日懐かしダレがイケナイ　ダレがイケナイどなたを愛しちゃイケナイ！？YO！ listen up生きてる　これが　生きてる称えて　もっと　称えて！さあ　つかめ！飽くなき野望誰のものでもない君の野望さあ　つかめ！意味なきモノは無しさあ　誓え！己の決心にでっかい方が良いだろその決心にさあ　気付け！想像力が全て常識は非常識さあ　目指せ！果てしない未来誰のものでもない君の未来さあ　目指せ！道なき未知の道さあ　気付け！己の可能性限界決めつけるなその可能性さあ　気付け！想像力が全てOH　愛して何が悪い
恋愛Destiny～本音を論じたい～,諦めるにゃまだちょびっと早すぎるさほら　あいつでもギブアップしたそうな顔してる今こそ　この峠　乗り越えて抜け出すチャンス「恋人」って何を超えた時OH Yeah！ Yeah！結婚する！？この切なさや　胸に溢れ出る情熱や不安感とか　飛び越えんの？愛はあんだよ　愛はあんだよ　愛はたくさん感じてるなんか変だよ　なんか変だろ　寂しくて涙が　止まんない　こんな好きなのになんだろう　変だよ恋愛Destiny　本音を論じたい始めるにはまだ全然時間あるさほら　周りに合わせてりゃみんな一緒にドミノ倒し今さら　遠慮なんて要らないだろはみ出すチャンス「親友」が何か悩んでもOH Yeah！ Yeah！　何(ナン)が出来る！？このモヤモヤと　それ以上の建前の正義感頭に来るな　いいヤツぶって愛を積んでも　愛を積んでも　愛はその場に留まらない全部やったろう　全部やったれ　逃げたくないこのまま　途中じゃ　私　終われないなんだろう　変だよ恋愛Destiny　本音を論じたい愛を積んでも　愛を積んでも　愛はその場に留まらない全部やったろう　全部やったれ　逃げたくないこのまま　途中じゃ　私　終われないなんだろう　変だよ恋愛Destiny　本音を論じたい
